Radius Chips Goodness
4.3	7.5	0
4.4	7.5	0
4.4	7	1
4.3	6.6	0
4.4	6.3	0
4.5	6.3	1
4.2	5.5	0
4.25	5.3	0
4.4	5.5	1
4.5	5	1
4.3	4.1	0
4.4	4	1
4.25	3.5	0
4.4	3.6	0
4.3	3	0
4.25	2.7	0
4.4	1.8	0
4.5	9	0
4.5	8.5	0
4.6	8.5	0
4.7	8.8	1
4.9	9	0
4.5	9	0
4.75	8	1
4.8	8	1
4.9	8	1
4.55	7.1	1
4.6	7.5	0
4.8	7.5	1
4.75	7.4	1
4.8	7.6	1
4.9	7.5	1
4.6	6.5	1
4.75	6.4	1
4.7	6.8	1
4.9	6.8	1
4.65	5.5	1
4.8	5.8	1
5	5	1
4.6	5	1
4.8	5	1
4.6	4.2	1
4.7	4.1	1
4.6	3.5	0
4.7	3.8	0
4.8	4	1
4.7	3	1
4.8	3	1
4.8	2.7	1
4.8	3.2	1
4.8	2	0
4.9	2	1
4.5	2.5	0
4.6	2.7	1
4.65	2.7	0
4.6	1.9	0
4.8	1.8	0
4.7	1	0
4.9	1.1	0
5	2	1
5	3	1
5	8.5	0
5.2	8.6	0
5.35	8.1	0
5.1	7.9	0
5.2	7.9	0
5.5	7.8	0
5	7.5	1
5.3	7.5	1
5.4	7.3	1
5.3	7.1	0
5.1	6.9	1
5.15	6.8	1
5.2	6.6	1
5.3	6.9	1
5.45	4	1
5.3	2.9	1
5.45	3.1	1
5.1	1.5	1
5.2	2	1
5.45	1.9	0
5.1	1.1	0
5.2	1	1
5.35	1.1	0
5.4	1.2	1
5.45	1.3	1
5.5	1.5	1
5.5	1	0
5.1	0.2	0
5.3	0.2	0
5.6	0.2	0
5.65	1.4	1
5.8	1.3	0
5.85	1.5	0
5.65	2.8	1
5.25	3	1
5.85	2.2	0
5.9	3	0
5.65	3.2	1
5.6	3.9	0
5.85	3.5	0
5.9	4	0
5.6	4.7	1
5.95	4.4	0
6.1	4.5	0
5.05	5.3	1
5.8	5.3	0
5.9	5.7	0
5.5	6.2	1
5.75	6.1	1
5.6	7	0
5.8	6.5	0
5.6	7.6	0
5.7	7.2	0
5.85	7.3	0
5.6	8.3	0
